YahooEquiv,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Unnamed: 8,Yahoo_Equivalent_Code
3IINFOTECH.NS,3IINFOTECH,3i Infotech Limited,EQ,22-Apr-05,10,1,INE748C01020,10,.NS,"'3IINFOTECH.NS',"
8KMILES.NS,8KMILES,8K Miles Software Services Limited,BE,29-Jan-14,5,1,INE650K01021,5,.NS,"'8KMILES.NS',"
ABMINTLTD.NS,ABMINTLTD,ABM International Limited,BE,14-Jun-16,10,1,INE251C01017,10,.NS,"'ABMINTLTD.NS',"
ACRYSIL.NS,ACRYSIL,Acrysil Limited,EQ,14-Jan-21,2,1,INE482D01024,2,.NS,"'ACRYSIL.NS',"
ADANITRANS.NS,ADANITRANS,Adani Transmission Limited,EQ,31-Jul-15,10,1,INE931S01010,10,.NS,"'ADANITRANS.NS',"
ADHUNIKIND.NS,ADHUNIKIND,Adhunik Industries Limited,BE,01-Jul-16,10,1,INE452L01012,10,.NS,"'ADHUNIKIND.NS',"
AGCNET.NS,AGCNET,AGC Networks Limited,BE,22-Jul-03,10,1,INE676A01019,10,.NS,"'AGCNET.NS',"
AMARAJABAT.NS,AMARAJABAT,Amara Raja Batteries Limited,EQ,05-Sep-03,1,1,INE885A01032,1,.NS,"'AMARAJABAT.NS',"
ANGELBRKG.NS,ANGELBRKG,Angel Broking Limited,EQ,05-Oct-20,10,1,INE732I01013,10,.NS,"'ANGELBRKG.NS',"
ATLANTA.NS,ATLANTA,Atlanta  Limited,EQ,25-Sep-06,2,1,INE285H01022,2,.NS,"'ATLANTA.NS',"
BARTRONICS.NS,BARTRONICS,Bartronics India Limited,BZ,12-Jan-06,10,1,INE855F01034,10,.NS,"'BARTRONICS.NS',"
BHAGYAPROP.NS,BHAGYAPROP,Bhagyanagar Properties Limited,EQ,20-Jul-17,2,1,INE363W01018,2,.NS,"'BHAGYAPROP.NS',"
BINDALAGRO.NS,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,28-Aug-96,10,1,INE143A01010,10,.NS,"'BINDALAGRO.NS',"
BSELINFRA.NS,BSELINFRA,BSEL Infrastructure Realty Limited,EQ,07-Feb-01,10,1,INE395A01016,10,.NS,"'BSELINFRA.NS',"
BURGERKING.NS,BURGERKING,Burger King India Limited,EQ,14-Dec-20,10,1,INE07T201019,10,.NS,"'BURGERKING.NS',"
CADILAHC.NS,CADILAHC,Cadila Healthcare Limited,EQ,18-Apr-00,1,1,INE010B01027,1,.NS,"'CADILAHC.NS',"
CEBBCO.NS,CEBBCO,Commercial Engineers & Body Builders Co Limited,BE,18-Oct-10,10,1,INE209L01016,10,.NS,"'CEBBCO.NS',"
CESCVENT.NS,CESCVENT,CESC Ventures Limited,EQ,25-Jan-19,10,1,INE425Y01011,10,.NS,"'CESCVENT.NS',"
CHROMATIC.NS,CHROMATIC,Chromatic India Limited,BZ,29-May-12,10,1,INE662C01015,10,.NS,"'CHROMATIC.NS',"
CLNINDIA.NS,CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-Jun-95,10,1,INE492A01029,10,.NS,"'CLNINDIA.NS',"
CNOVAPETRO.NS,CNOVAPETRO,CIL Nova Petrochemicals Limited,BE,01-Jan-14,10,1,INE672K01025,10,.NS,"'CNOVAPETRO.NS',"
COSMOFILMS.NS,COSMOFILMS,Cosmo Films Limited,EQ,25-May-95,10,1,INE757A01017,10,.NS,"'COSMOFILMS.NS',"
DAAWAT.NS,DAAWAT,LT Foods Limited,EQ,18-Dec-06,1,1,INE818H01020,1,.NS,"'DAAWAT.NS',"
DFMFOODS.NS,DFMFOODS,DFM Foods Limited,EQ,29-Dec-16,2,1,INE456C01020,2,.NS,"'DFMFOODS.NS',"
DHFL.NS,DHFL,Dewan Housing Finance Corporation Limited,EQ,01-Oct-02,10,1,INE202B01012,10,.NS,"'DHFL.NS',"
DIAPOWER.NS,DIAPOWER,Diamond Power Infra Ltd,BZ,29-Sep-10,10,1,INE989C01012,10,.NS,"'DIAPOWER.NS',"
DOLAT.NS,DOLAT,Dolat Investments Limited,EQ,19-Aug-19,1,1,INE966A01022,1,.NS,"'DOLAT.NS',"
EBIXFOREX.NS,EBIXFOREX,EBIXCASH WORLD MONEY INDIA LIMITED,EQ,28-Jun-11,10,1,INE726L01019,10,.NS,"'EBIXFOREX.NS',"
GAL.NS,GAL,Gyscoal Alloys Limited,EQ,27-Oct-10,1,1,INE482J01021,1,.NS,"'GAL.NS',"
GALLISPAT.NS,GALLISPAT,Gallantt Ispat Limited,EQ,11-Oct-10,1,1,INE528K01029,1,.NS,"'GALLISPAT.NS',"
GAMMNINFRA.NS,GAMMNINFRA,Gammon Infrastructure Projects Limited,EQ,03-Apr-08,2,1,INE181G01025,2,.NS,"'GAMMNINFRA.NS',"
GARDENSILK.NS,GARDENSILK,Garden Silk Mills Limited,EQ,01-Apr-03,10,1,INE526A01016,10,.NS,"'GARDENSILK.NS',"
GATI.NS,GATI,GATI Limited,EQ,10-Oct-06,2,1,INE152B01027,2,.NS,"'GATI.NS',"
GDL.NS,GDL,Gateway Distriparks Limited,EQ,31-Mar-05,10,1,INE852F01015,10,.NS,"'GDL.NS',"
GISOLUTION.NS,GISOLUTION,GI Engineering Solutions Limited,BE,30-Jan-09,10,1,INE065J01016,10,.NS,"'GISOLUTION.NS',"
GLOBOFFS.NS,GLOBOFFS,Global Offshore Services Limited,EQ,03-May-07,10,1,INE446C01013,10,.NS,"'GLOBOFFS.NS',"
GTNIND.NS,GTNIND,GTN Industries Limited,BE,02-Aug-95,10,1,INE537A01013,10,.NS,"'GTNIND.NS',"
GTNTEX.NS,GTNTEX,GTN Textiles Limited,EQ,18-May-06,10,1,INE302H01017,10,.NS,"'GTNTEX.NS',"
HARITASEAT.NS,HARITASEAT,Harita Seating Systems Limited,EQ,06-Apr-09,10,1,INE939D01015,10,.NS,"'HARITASEAT.NS',"
HDFC.NS,HDFC,Housing Development Finance Corporation Limited,EQ,23-Oct-96,2,1,INE001A01036,2,.NS,"'HDFC.NS',"
HOTELRUGBY.NS,HOTELRUGBY,Hotel Rugby Limited,EQ,03-Apr-96,10,1,INE275F01019,10,.NS,"'HOTELRUGBY.NS',"
HSIL.NS,HSIL,HSIL Limited,EQ,31-May-00,2,1,INE415A01038,2,.NS,"'HSIL.NS',"
